,site,status
0,AZ,unreturned
1,TX,returned
2,CA,returned
3,CA,returned
4,CA,returned
5,CA,returned
6,OR,returned
7,AZ,unreturned
8,CA,returned
9,CA,unreturned
10,CA,returned
11,AZ,unreturned
12,CA,returned
13,CA,returned
14,AZ,returned
15,CA,returned
16,CA,returned
17,CA,returned
18,CA,returned
19,CA,returned
20,AZ,returned
21,CA,returned
22,TX,unreturned
23,CA,returned
24,CA,returned
25,CA,unreturned
26,CA,returned
27,TX,returned
28,TX,returned
29,CA,unreturned
30,CA,unreturned
31,CA,unreturned
32,CA,unreturned
33,TX,returned
34,CA,returned
35,CA,returned
36,OR,returned
37,CA,returned
38,OR,returned
39,CA,returned
40,CA,returned
41,CA,unreturned
42,AZ,unreturned
43,CA,returned
44,CA,returned
45,CA,returned
46,TX,returned
47,CA,returned
48,CA,returned
49,CA,unreturned
50,TX,unreturned
51,CA,unreturned
52,AZ,unreturned
53,OR,returned
54,CA,returned
55,OR,returned
56,CA,returned
57,CA,returned
58,TX,returned
59,CA,returned
60,CA,unreturned
61,OR,returned
62,CA,returned
63,OR,returned
64,CA,returned
65,TX,returned
66,OR,returned
67,TX,unreturned
68,AZ,returned
69,TX,unreturned
70,CA,returned
71,CA,returned
72,CA,returned
73,CA,returned
74,OR,returned
75,CA,returned
76,CA,returned
77,CA,returned
78,CA,returned
79,CA,returned
80,CA,returned
81,OR,returned
82,TX,returned
83,CA,returned
84,CA,unreturned
85,TX,returned
86,CA,returned
87,CA,returned
88,CA,returned
89,CA,returned
90,CA,returned
91,TX,unreturned
92,CA,returned
93,OR,returned
94,CA,returned
95,AZ,unreturned
96,CA,returned
97,CA,returned
98,CA,returned
99,CA,returned
100,TX,returned
101,AZ,unreturned
102,CA,returned
103,CA,unreturned
104,OR,returned
105,AZ,returned
106,TX,unreturned
107,CA,returned
108,AZ,returned
109,CA,unreturned
110,TX,unreturned
111,AZ,returned
112,CA,returned
113,CA,returned
114,CA,returned
115,CA,unreturned
116,AZ,returned
117,AZ,unreturned
118,OR,returned
119,CA,returned
120,CA,returned
121,CA,returned
122,CA,returned
123,OR,returned
124,TX,returned
125,OR,returned
126,CA,unreturned
127,CA,returned
128,CA,returned
129,OR,returned
130,CA,unreturned
131,CA,unreturned
132,CA,returned
133,OR,returned
134,CA,returned
135,CA,unreturned
136,TX,returned
137,AZ,unreturned
138,AZ,returned
139,CA,returned
140,TX,returned
141,CA,unreturned
142,CA,returned
143,OR,unreturned
144,AZ,returned
145,CA,returned
146,CA,returned
147,CA,returned
148,CA,unreturned
149,CA,unreturned
150,CA,returned
151,CA,returned
152,OR,returned
153,CA,unreturned
154,CA,returned
155,CA,returned
156,CA,returned
157,CA,returned
158,CA,returned
